Date_str,ID,Date,Month,Year
2017/01/31,28131197,2017-01-31,1,2017
2017/01/31,28134633,2017-01-31,1,2017
2017/01/24,28111826,2017-01-24,1,2017
2017/01/25,28115833,2017-01-25,1,2017
2017/01/26,28121180,2017-01-26,1,2017
2017/01/06,28054602,2017-01-06,1,2017
2017/01/01,30390417,2017-01-01,1,2017
2017/01/17,28090185,2017-01-17,1,2017
2017/01/31,28134101,2017-01-31,1,2017
2017/01/10,28067105,2017-01-10,1,2017
2017/01/06,28052961,2017-01-06,1,2017
2017/01/18,28094823,2017-01-18,1,2017
2017/01/31,28131843,2017-01-31,1,2017
2017/01/14,28081673,2017-01-14,1,2017
2017/01/26,28120040,2017-01-26,1,2017
2017/01/04,28040720,2017-01-04,1,2017
2017/01/07,28058149,2017-01-07,1,2017
2017/01/19,28099581,2017-01-19,1,2017
2017/01/25,28118420,2017-01-25,1,2017
2017/01/13,28081205,2017-01-13,1,2017
2017/01/04,28042158,2017-01-04,1,2017
2017/01/23,28110383,2017-01-23,1,2017
2017/01/21,28104771,2017-01-21,1,2017
2017/01/13,28078796,2017-01-13,1,2017
2017/01/18,28096607,2017-01-18,1,2017
2017/01/19,28099560,2017-01-19,1,2017
2017/01/25,28118444,2017-01-25,1,2017
2017/01/14,28082172,2017-01-14,1,2017
2017/01/17,28090077,2017-01-17,1,2017
2017/01/29,28129859,2017-01-29,1,2017
2017/01/23,28110491,2017-01-23,1,2017
2017/01/13,28077076,2017-01-13,1,2017
2017/01/26,28122126,2017-01-26,1,2017
2017/01/01,28039184,2017-01-01,1,2017
2017/01/10,28067571,2017-01-10,1,2017
2017/01/28,28127708,2017-01-28,1,2017
2017/01/16,28088586,2017-01-16,1,2017
2017/01/12,28076758,2017-01-12,1,2017
2017/01/04,28045908,2017-01-04,1,2017
2017/01/19,28098859,2017-01-19,1,2017
2017/01/06,28052798,2017-01-06,1,2017
2017/01/10,28066859,2017-01-10,1,2017
2017/01/25,28117639,2017-01-25,1,2017
2017/01/26,28121343,2017-01-26,1,2017
2017/01/11,28070764,2017-01-11,1,2017
2017/01/28,28128635,2017-01-28,1,2017
2017/01/14,28082088,2017-01-14,1,2017
2017/01/05,28049452,2017-01-05,1,2017
2017/01/07,28061507,2017-01-07,1,2017
2017/01/13,28077321,2017-01-13,1,2017
2017/01/29,28130938,2017-01-29,1,2017
2017/01/11,28073147,2017-01-11,1,2017
2017/01/20,28100768,2017-01-20,1,2017
2017/01/06,28052956,2017-01-06,1,2017
2017/01/19,28099778,2017-01-19,1,2017
2017/01/11,28069584,2017-01-11,1,2017
2017/01/24,28110873,2017-01-24,1,2017
2017/01/17,28092347,2017-01-17,1,2017
2017/01/13,28077136,2017-01-13,1,2017
2017/01/19,28099857,2017-01-19,1,2017
2017/01/16,28088253,2017-01-16,1,2017
2017/01/21,28104319,2017-01-21,1,2017
2017/01/28,28127270,2017-01-28,1,2017
2017/01/21,28107754,2017-01-21,1,2017
2017/01/06,28053931,2017-01-06,1,2017
2017/01/17,28092859,2017-01-17,1,2017
2017/01/01,29903167,2017-01-01,1,2017
2017/01/01,30802390,2017-01-01,1,2017
2017/01/13,28081320,2017-01-13,1,2017
2017/01/27,28124744,2017-01-27,1,2017
2017/01/25,28118402,2017-01-25,1,2017
2017/01/28,28127640,2017-01-28,1,2017
2017/01/14,28081594,2017-01-14,1,2017
2017/01/31,28135326,2017-01-31,1,2017
2017/01/17,28090445,2017-01-17,1,2017
2017/01/04,28045610,2017-01-04,1,2017
2017/01/06,28054127,2017-01-06,1,2017
2017/01/01,28038984,2017-01-01,1,2017
2017/01/05,28050729,2017-01-05,1,2017
2017/01/11,28068906,2017-01-11,1,2017
2017/01/26,28122346,2017-01-26,1,2017
2017/01/24,28112743,2017-01-24,1,2017
2017/01/18,28094175,2017-01-18,1,2017
2017/01/07,28056896,2017-01-07,1,2017
2017/01/28,28126474,2017-01-28,1,2017
2017/01/24,28111212,2017-01-24,1,2017
2017/01/21,28107501,2017-01-21,1,2017
2017/01/11,28069645,2017-01-11,1,2017
2017/01/07,28056549,2017-01-07,1,2017
2017/01/07,28057091,2017-01-07,1,2017
2017/01/12,28076691,2017-01-12,1,2017
2017/01/19,28098557,2017-01-19,1,2017
2017/01/15,28087462,2017-01-15,1,2017
2017/01/04,28042273,2017-01-04,1,2017
2017/01/11,28068943,2017-01-11,1,2017
2017/01/12,28075444,2017-01-12,1,2017
2017/01/05,28052060,2017-01-05,1,2017
2017/01/31,28131164,2017-01-31,1,2017
2017/01/13,28079801,2017-01-13,1,2017
2017/01/01,30036009,2017-01-01,1,2017
2017/01/29,28130589,2017-01-29,1,2017
2017/01/18,28095819,2017-01-18,1,2017
2017/01/13,28079725,2017-01-13,1,2017
2017/01/24,28112050,2017-01-24,1,2017
2017/01/06,28055967,2017-01-06,1,2017
2017/01/25,28115374,2017-01-25,1,2017
2017/01/20,28101141,2017-01-20,1,2017
2017/01/19,28098956,2017-01-19,1,2017
2017/01/13,28078434,2017-01-13,1,2017
2017/01/13,28078633,2017-01-13,1,2017
