Date,total_record
2010/01/01,3455
2010/01/02,333
2010/01/03,0
2010/01/04,0
2010/01/05,504
2010/01/06,648
2010/01/07,500
2010/01/08,445
2010/01/09,790
2010/01/10,3
2010/01/11,0
2010/01/12,1009
2010/01/13,672
2010/01/14,607
2010/01/15,635
2010/01/16,796
2010/01/17,0
2010/01/18,5
2010/01/19,1127
2010/01/20,559
2010/01/21,647
2010/01/22,960
2010/01/23,609
2010/01/24,0
2010/01/25,2
2010/01/26,1005
2010/01/27,634
2010/01/28,766
2010/01/29,701
2010/01/30,966
2010/01/31,0
2010/02/01,123
2010/02/02,1212
2010/02/03,125
2010/02/04,1415
2010/02/05,940
2010/02/06,826
2010/02/07,1
2010/02/08,0
2010/02/09,1203
2010/02/10,628
2010/02/11,610
2010/02/12,406
2010/02/13,703
2010/02/14,0
2010/02/15,0
2010/02/16,911
2010/02/17,477
2010/02/18,914
2010/02/19,638
2010/02/20,667
2010/02/21,0
2010/02/22,1
2010/02/23,1137
2010/02/24,550
2010/02/25,482
2010/02/26,685
2010/02/27,909
2010/02/28,2
2010/03/01,320
2010/03/02,1089
2010/03/03,1027
2010/03/04,505
2010/03/05,589
2010/03/06,875
2010/03/07,0
2010/03/08,2
2010/03/09,886
2010/03/10,893
2010/03/11,786
2010/03/12,834
2010/03/13,759
2010/03/14,0
2010/03/15,3
2010/03/16,1
2010/03/17,1680
2010/03/18,489
2010/03/19,0
2010/03/20,1466
2010/03/21,1
2010/03/22,1
2010/03/23,1099
2010/03/24,745
2010/03/25,634
2010/03/26,570
2010/03/27,777
2010/03/28,0
2010/03/29,1
2010/03/30,1107
2010/03/31,735
2010/04/01,895
2010/04/02,603
2010/04/03,570
2010/04/04,0
2010/04/05,0
2010/04/06,0
2010/04/07,1338
2010/04/08,793
2010/04/09,805
2010/04/10,682
2010/04/11,3
2010/04/12,2
2010/04/13,924
2010/04/14,808
2010/04/15,760
2010/04/16,557
2010/04/17,614
2010/04/18,0
2010/04/19,1
2010/04/20,1062
2010/04/21,825
2010/04/22,575
2010/04/23,710
2010/04/24,854
2010/04/25,0
2010/04/26,2
2010/04/27,1067
2010/04/28,635
2010/04/29,857
2010/04/30,679
2010/05/01,935
2010/05/02,0
2010/05/03,1
2010/05/04,1095
2010/05/05,709
2010/05/06,412
2010/05/07,660
2010/05/08,701
2010/05/09,0
2010/05/10,0
2010/05/11,1244
2010/05/12,801
2010/05/13,772
2010/05/14,754
2010/05/15,770
2010/05/16,0
2010/05/17,1
2010/05/18,1117
2010/05/19,771
2010/05/20,62
2010/05/21,983
2010/05/22,957
2010/05/23,0
2010/05/24,1
2010/05/25,1194
2010/05/26,751
2010/05/27,914
2010/05/28,672
2010/05/29,581
2010/05/30,0
2010/05/31,0
2010/06/01,1148
2010/06/02,389
2010/06/03,744
2010/06/04,742
2010/06/05,619
2010/06/06,0
2010/06/07,1
2010/06/08,376
2010/06/09,238
2010/06/10,1278
2010/06/11,641
2010/06/12,1017
2010/06/13,0
2010/06/14,2
2010/06/15,1088
2010/06/16,1012
2010/06/17,604
2010/06/18,831
2010/06/19,754
2010/06/20,0
2010/06/21,0
2010/06/22,1031
2010/06/23,661
2010/06/24,888
2010/06/25,620
2010/06/26,630
2010/06/27,0
2010/06/28,0
2010/06/29,1114
2010/06/30,664
2010/07/01,1157
2010/07/02,755
2010/07/03,754
2010/07/04,0
2010/07/05,1
2010/07/06,1292
2010/07/07,328
2010/07/08,767
2010/07/09,1076
2010/07/10,702
2010/07/11,0
2010/07/12,0
2010/07/13,1
2010/07/14,2088
2010/07/15,0
2010/07/16,1666
2010/07/17,709
2010/07/18,0
2010/07/19,1
2010/07/20,1281
2010/07/21,772
2010/07/22,815
2010/07/23,24
2010/07/24,814
2010/07/25,0
2010/07/26,1
2010/07/27,1220
2010/07/28,836
2010/07/29,890
2010/07/30,712
2010/07/31,608
2010/08/01,230
2010/08/02,1
2010/08/03,1177
2010/08/04,699
2010/08/05,728
2010/08/06,708
2010/08/07,781
2010/08/08,0
2010/08/09,0
2010/08/10,1007
2010/08/11,671
2010/08/12,530
2010/08/13,645
2010/08/14,587
2010/08/15,0
2010/08/16,4
2010/08/17,883
2010/08/18,696
2010/08/19,567
2010/08/20,823
2010/08/21,786
2010/08/22,0
2010/08/23,4
2010/08/24,1055
2010/08/25,682
2010/08/26,680
2010/08/27,660
2010/08/28,712
2010/08/29,0
2010/08/30,8
2010/08/31,864
2010/09/01,299
2010/09/02,644
2010/09/03,1360
2010/09/04,663
2010/09/05,5
2010/09/06,0
2010/09/07,0
2010/09/08,1375
2010/09/09,708
2010/09/10,717
2010/09/11,560
2010/09/12,0
2010/09/13,0
2010/09/14,949
2010/09/15,734
2010/09/16,680
2010/09/17,663
2010/09/18,936
2010/09/19,0
2010/09/20,1
2010/09/21,1211
2010/09/22,815
2010/09/23,615
2010/09/24,615
2010/09/25,740
2010/09/26,0
2010/09/27,1
2010/09/28,1002
2010/09/29,107
2010/09/30,1116
2010/10/01,1166
2010/10/02,0
2010/10/03,0
2010/10/04,3
2010/10/05,1869
2010/10/06,845
2010/10/07,520
2010/10/08,0
2010/10/09,0
2010/10/10,0
2010/10/11,4
2010/10/12,2306
2010/10/13,610
2010/10/14,511
2010/10/15,855
2010/10/16,901
2010/10/17,0
2010/10/18,0
2010/10/19,999
2010/10/20,923
2010/10/21,527
2010/10/22,711
2010/10/23,930
2010/10/24,0
2010/10/25,1
2010/10/26,933
2010/10/27,849
2010/10/28,555
2010/10/29,629
2010/10/30,688
2010/10/31,0
2010/11/01,126
2010/11/02,0
2010/11/03,2262
2010/11/04,695
2010/11/05,602
2010/11/06,782
2010/11/07,0
2010/11/08,1
2010/11/09,1161
2010/11/10,607
2010/11/11,643
2010/11/12,630
2010/11/13,691
2010/11/14,0
2010/11/15,0
2010/11/16,1009
2010/11/17,743
2010/11/18,354
2010/11/19,757
2010/11/20,171
2010/11/21,0
2010/11/22,1
2010/11/23,525
2010/11/24,1
2010/11/25,0
2010/11/26,3733
2010/11/27,498
2010/11/28,0
2010/11/29,0
2010/11/30,757
2010/12/01,1075
2010/12/02,842
2010/12/03,1060
2010/12/04,546
2010/12/05,3
2010/12/06,1
2010/12/07,1045
2010/12/08,781
2010/12/09,738
2010/12/10,0
2010/12/11,2
2010/12/12,0
2010/12/13,1
2010/12/14,8
2010/12/15,3053
2010/12/16,568
2010/12/17,965
2010/12/18,861
2010/12/19,0
2010/12/20,4
2010/12/21,1160
2010/12/22,742
2010/12/23,53
2010/12/24,1238
2010/12/25,962
2010/12/26,0
2010/12/27,0
2010/12/28,443
2010/12/29,520
2010/12/30,111
2010/12/31,582
2011/01/01,3117
2011/01/02,0
2011/01/03,0
2011/01/04,0
2011/01/05,2138
2011/01/06,669
2011/01/07,642
2011/01/08,714
2011/01/09,0
2011/01/10,0
2011/01/11,1044
2011/01/12,816
2011/01/13,763
2011/01/14,735
2011/01/15,719
2011/01/16,3
2011/01/17,1
2011/01/18,1012
2011/01/19,651
2011/01/20,644
2011/01/21,689
2011/01/22,965
2011/01/23,0
2011/01/24,3
2011/01/25,1233
2011/01/26,823
2011/01/27,572
2011/01/28,75
2011/01/29,1470
2011/01/30,0
2011/01/31,3
2011/02/01,1322
2011/02/02,774
2011/02/03,685
2011/02/04,616
2011/02/05,744
2011/02/06,0
2011/02/07,0
2011/02/08,1148
2011/02/09,776
2011/02/10,749
2011/02/11,682
2011/02/12,796
2011/02/13,0
2011/02/14,0
2011/02/15,1233
2011/02/16,629
2011/02/17,85
2011/02/18,1270
2011/02/19,714
2011/02/20,3
2011/02/21,0
2011/02/22,1300
2011/02/23,793
2011/02/24,658
2011/02/25,816
2011/02/26,829
2011/02/27,0
2011/02/28,1
2011/03/01,1165
2011/03/02,1235
2011/03/03,784
2011/03/04,838
2011/03/05,816
2011/03/06,0
2011/03/07,0
2011/03/08,1062
2011/03/09,734
2011/03/10,517
2011/03/11,710
2011/03/12,742
2011/03/13,0
2011/03/14,1
2011/03/15,1129
2011/03/16,883
2011/03/17,651
2011/03/18,829
2011/03/19,750
2011/03/20,1
2011/03/21,1
2011/03/22,31
2011/03/23,2032
2011/03/24,552
2011/03/25,1045
2011/03/26,940
2011/03/27,1
2011/03/28,3
2011/03/29,1227
2011/03/30,634
2011/03/31,635
2011/04/01,1094
2011/04/02,846
2011/04/03,0
2011/04/04,0
2011/04/05,1360
2011/04/06,792
2011/04/07,781
2011/04/08,803
2011/04/09,622
2011/04/10,0
2011/04/11,1
2011/04/12,879
2011/04/13,1090
2011/04/14,680
2011/04/15,685
2011/04/16,871
2011/04/17,0
2011/04/18,0
2011/04/19,1209
2011/04/20,767
2011/04/21,476
2011/04/22,940
2011/04/23,645
2011/04/24,0
2011/04/25,0
2011/04/26,808
2011/04/27,847
2011/04/28,448
2011/04/29,646
2011/04/30,447
2011/05/01,164
2011/05/02,0
2011/05/03,1222
2011/05/04,1011
2011/05/05,640
2011/05/06,634
2011/05/07,758
2011/05/08,0
2011/05/09,0
2011/05/10,1071
2011/05/11,847
2011/05/12,560
2011/05/13,711
2011/05/14,813
2011/05/15,11
2011/05/16,10
2011/05/17,1392
2011/05/18,897
2011/05/19,688
2011/05/20,761
2011/05/21,747
2011/05/22,0
2011/05/23,0
2011/05/24,1249
2011/05/25,862
2011/05/26,575
2011/05/27,646
2011/05/28,968
2011/05/29,0
2011/05/30,1
2011/05/31,1165
2011/06/01,1158
2011/06/02,833
2011/06/03,760
2011/06/04,683
2011/06/05,8
2011/06/06,0
2011/06/07,1016
2011/06/08,793
2011/06/09,204
2011/06/10,1200
2011/06/11,780
2011/06/12,0
2011/06/13,0
2011/06/14,1
2011/06/15,1845
2011/06/16,747
2011/06/17,923
2011/06/18,855
2011/06/19,0
2011/06/20,0
2011/06/21,1151
2011/06/22,782
2011/06/23,680
2011/06/24,724
2011/06/25,1
2011/06/26,1
2011/06/27,1
2011/06/28,1883
2011/06/29,763
2011/06/30,622
2011/07/01,1114
2011/07/02,896
2011/07/03,0
2011/07/04,0
2011/07/05,1099
2011/07/06,449
2011/07/07,819
2011/07/08,832
2011/07/09,1017
2011/07/10,0
2011/07/11,0
2011/07/12,1084
2011/07/13,753
2011/07/14,597
2011/07/15,686
2011/07/16,906
2011/07/17,0
2011/07/18,2
2011/07/19,1111
2011/07/20,760
2011/07/21,663
2011/07/22,487
2011/07/23,896
2011/07/24,1
2011/07/25,0
2011/07/26,1253
2011/07/27,783
2011/07/28,810
2011/07/29,740
2011/07/30,793
2011/07/31,0
2011/08/01,158
2011/08/02,1222
2011/08/03,714
2011/08/04,772
2011/08/05,705
2011/08/06,713
2011/08/07,0
2011/08/08,0
2011/08/09,1059
2011/08/10,743
2011/08/11,707
2011/08/12,1
2011/08/13,1447
2011/08/14,0
2011/08/15,1
2011/08/16,1078
2011/08/17,700
2011/08/18,1
2011/08/19,1082
2011/08/20,565
2011/08/21,0
2011/08/22,1
2011/08/23,1178
2011/08/24,559
2011/08/25,526
2011/08/26,743
2011/08/27,589
2011/08/28,0
2011/08/29,0
2011/08/30,1040
2011/08/31,659
2011/09/01,829
2011/09/02,745
2011/09/03,1184
2011/09/04,0
2011/09/05,7
2011/09/06,961
2011/09/07,447
2011/09/08,865
2011/09/09,748
2011/09/10,746
2011/09/11,0
2011/09/12,0
2011/09/13,1225
2011/09/14,832
2011/09/15,641
2011/09/16,854
2011/09/17,864
2011/09/18,0
2011/09/19,1
2011/09/20,1140
2011/09/21,747
2011/09/22,763
2011/09/23,554
2011/09/24,657
2011/09/25,0
2011/09/26,2
2011/09/27,3
2011/09/28,22
2011/09/29,2818
2011/09/30,6
2011/10/01,1832
2011/10/02,1
2011/10/03,0
2011/10/04,1269
2011/10/05,819
2011/10/06,547
2011/10/07,774
2011/10/08,628
2011/10/09,0
2011/10/10,0
2011/10/11,1007
2011/10/12,690
2011/10/13,663
2011/10/14,766
2011/10/15,861
2011/10/16,0
2011/10/17,0
2011/10/18,1034
2011/10/19,865
2011/10/20,590
2011/10/21,655
2011/10/22,774
2011/10/23,0
2011/10/24,1
2011/10/25,1378
2011/10/26,832
2011/10/27,668
2011/10/28,689
2011/10/29,592
2011/10/30,0
2011/10/31,4
2011/11/01,1340
2011/11/02,1102
2011/11/03,794
2011/11/04,552
2011/11/05,823
2011/11/06,0
2011/11/07,2
2011/11/08,1036
2011/11/09,707
2011/11/10,771
2011/11/11,759
2011/11/12,117
2011/11/13,0
2011/11/14,0
2011/11/15,1821
2011/11/16,677
2011/11/17,640
2011/11/18,817
2011/11/19,1213
2011/11/20,0
2011/11/21,2
2011/11/22,1397
2011/11/23,743
2011/11/24,922
2011/11/25,751
2011/11/26,590
2011/11/27,0
2011/11/28,0
2011/11/29,1077
2011/11/30,896
2011/12/01,859
2011/12/02,802
2011/12/03,817
2011/12/04,0
2011/12/05,4
2011/12/06,1121
2011/12/07,959
2011/12/08,688
2011/12/09,0
2011/12/10,2
2011/12/11,0
2011/12/12,5
2011/12/13,3
2011/12/14,3546
2011/12/15,845
2011/12/16,786
2011/12/17,959
2011/12/18,0
2011/12/19,3
2011/12/20,1230
2011/12/21,752
2011/12/22,723
2011/12/23,888
2011/12/24,928
2011/12/25,1
2011/12/26,1
2011/12/27,956
2011/12/28,225
2011/12/29,550
2011/12/30,552
2011/12/31,356
2012/01/01,2674
2012/01/02,14
2012/01/03,700
2012/01/04,630
2012/01/05,546
2012/01/06,775
2012/01/07,0
2012/01/08,0
2012/01/09,5
2012/01/10,1772
2012/01/11,861
2012/01/12,683
2012/01/13,832
2012/01/14,807
2012/01/15,6
2012/01/16,1
2012/01/17,1242
2012/01/18,602
2012/01/19,1167
2012/01/20,746
2012/01/21,768
2012/01/22,2
2012/01/23,1
2012/01/24,1115
2012/01/25,867
2012/01/26,689
2012/01/27,759
2012/01/28,613
2012/01/29,0
2012/01/30,4
2012/01/31,1184
2012/02/01,1108
2012/02/02,747
2012/02/03,755
2012/02/04,971
2012/02/05,3
2012/02/06,5
2012/02/07,1086
2012/02/08,0
2012/02/09,1701
2012/02/10,855
2012/02/11,883
2012/02/12,3
2012/02/13,1
2012/02/14,1128
2012/02/15,796
2012/02/16,641
2012/02/17,2
2012/02/18,977
2012/02/19,0
2012/02/20,5
2012/02/21,0
2012/02/22,3000
2012/02/23,839
